,equity,drawdown,capital
2021-05-05,137642.4152840404,-0.02630063776362088,135269.8996477689
2021-05-06,141426.24369579434,0.0,135269.8996477689
2021-05-07,142048.0946548184,0.0,135269.8996477689
2021-05-10,142892.7123829362,0.0,135269.8996477689
2021-05-11,143199.01558990614,0.0,135269.8996477689
2021-05-12,140700.15379309078,-0.017450272172063006,135269.8996477689
2021-05-13,138968.04353800035,-0.029546097328088213,135269.8996477689
2021-05-14,138041.64564406103,-0.03601540083637723,135269.8996477689
2021-05-17,136880.15658504318,-0.04412641371054482,135269.8996477689
2021-05-18,136306.66071608468,-0.04813130066172948,135269.8996477689
2021-05-19,135211.16127228254,-0.055781489032712656,135269.8996477689
2021-05-20,133623.03133828612,-0.06687185810720762,135269.8996477689
2021-05-21,134703.61485950352,-0.059325831922837906,135269.8996477689
2021-05-24,131382.67403095108,-0.08251691892069105,135269.8996477689
2021-05-25,130816.57848723533,-0.08647012726771586,135269.8996477689
2021-05-26,131361.54219569298,-0.08266448861711002,135269.8996477689
2021-05-27,132493.83294042147,-0.07475737598743139,135269.8996477689
2021-05-28,132071.7623795322,-0.07770481636717524,135269.8996477689
2021-05-31,130713.22403853103,-0.08719188117278656,135269.8996477689
2021-06-01,130939.1703994633,-0.08561403261006086,135269.8996477689
2021-06-02,131906.72003313768,-0.07885735464206942,135269.8996477689
2021-06-03,132308.25383372058,-0.07605332837883859,135269.8996477689
2021-06-04,132669.19028417306,-0.0735328051129096,135269.8996477689
2021-06-07,131373.4993647991,-0.08258098825883692,135269.8996477689
2021-06-08,131439.52610506892,-0.08211990450069916,135269.8996477689
2021-06-09,130488.89019616897,-0.08875846905356158,135269.8996477689
2021-06-10,131048.5212617452,-0.08485040402063629,135269.8996477689
2021-06-11,130743.85600457578,-0.08697796932486945,135269.8996477689
2021-06-14,130833.77915695982,-0.08635001003329468,135269.8996477689
2021-06-15,131507.79293364164,-0.08164317756028337,135269.8996477689
2021-06-16,132818.66875109237,-0.07248895389435529,135269.8996477689
2021-06-17,130846.04193805551,-0.08626437549841205,135269.8996477689
2021-06-18,133154.38309684684,-0.07014456385527923,135269.8996477689
2021-06-21,131413.56188170568,-0.08230122015609156,135269.8996477689
2021-06-22,130856.11672014838,-0.08619402039121134,135269.8996477689
2021-06-23,130385.76828287583,-0.08947859909683271,135269.8996477689
2021-06-24,130824.34166396614,-0.08641591476703044,135269.8996477689
2021-06-25,130725.18741469726,-0.08710833746882364,135269.8996477689
2021-06-28,131076.24553210454,-0.08465679744977317,135269.8996477689
2021-06-29,131702.9871890126,-0.0802800798143466,135269.8996477689
2021-06-30,129430.5110553503,-0.09614943564965646,135269.8996477689
2021-07-01,132087.15526956582,-0.07759732337939043,135269.8996477689
